date,APMC,CommodityId,min_price,max_price,modal_price,arrivals_in_qtl
2015-10-01,Bhokardan,2,1489,1544,1513,1761
2016-10-01,Bhokardan,2,1588,1641,1614,238
2014-09-01,Bhokardan,2,1423,1446,1434,2883
2015-09-01,Bhokardan,2,1439,1508,1473,1113
2016-09-01,Bhokardan,2,1529,1621,1588,143
2016-11-01,Bhokardan,2,1604,1636,1617,35
2015-04-01,Bhokardan-Pimpalgaon Renu,2,1400,1435,1409,837
2016-04-01,Bhokardan-Pimpalgaon Renu,2,1500,1600,1550,100
2015-08-01,Bhokardan-Pimpalgaon Renu,2,1423,1507,1478,359
2016-08-01,Bhokardan-Pimpalgaon Renu,2,1530,1635,1582,172
2014-12-01,Bhokardan-Pimpalgaon Renu,2,1550,1560,1555,737
2015-12-01,Bhokardan-Pimpalgaon Renu,2,1560,1651,1605,289
2015-02-01,Bhokardan-Pimpalgaon Renu,2,1413,1450,1431,1038
2016-02-01,Bhokardan-Pimpalgaon Renu,2,1525,1638,1588,266
2015-01-01,Bhokardan-Pimpalgaon Renu,2,1525,1533,1529,614
2016-01-01,Bhokardan-Pimpalgaon Renu,2,1525,1625,1575,207
2015-07-01,Bhokardan-Pimpalgaon Renu,2,1414,1475,1438,270
2016-07-01,Bhokardan-Pimpalgaon Renu,2,1500,1600,1550,21
2015-06-01,Bhokardan-Pimpalgaon Renu,2,1407,1463,1438,413
2016-06-01,Bhokardan-Pimpalgaon Renu,2,1500,1580,1541,92
2015-03-01,Bhokardan-Pimpalgaon Renu,2,1400,1418,1410,1706
2016-03-01,Bhokardan-Pimpalgaon Renu,2,1520,1600,1560,254
2015-05-01,Bhokardan-Pimpalgaon Renu,2,1400,1419,1408,898
2016-05-01,Bhokardan-Pimpalgaon Renu,2,1500,1563,1531,93
2014-11-01,Bhokardan-Pimpalgaon Renu,2,1476,1491,1484,1004
2015-11-01,Bhokardan-Pimpalgaon Renu,2,1506,1581,1544,527
2014-10-01,Bhokardan-Pimpalgaon Renu,2,1438,1460,1449,884
2015-10-01,Bhokardan-Pimpalgaon Renu,2,1493,1545,1518,724
2016-10-01,Bhokardan-Pimpalgaon Renu,2,1569,1644,1613,207
2014-09-01,Bhokardan-Pimpalgaon Renu,2,1431,1455,1445,1338
2015-09-01,Bhokardan-Pimpalgaon Renu,2,1453,1515,1490,710
2016-09-01,Bhokardan-Pimpalgaon Renu,2,1546,1601,1569,126
2016-11-01,Bhokardan-Pimpalgaon Renu,2,1600,1645,1620,77
2015-04-01,Jalna,2,1806,2179,1976,10483
2016-04-01,Jalna,2,2071,2235,2149,2383
2015-08-01,Jalna,2,1561,1711,1643,2634
2016-08-01,Jalna,2,1860,1977,1925,2155
2014-12-01,Jalna,2,1467,1651,1563,4871
2015-12-01,Jalna,2,1687,1776,1743,1378
2015-02-01,Jalna,2,1455,1650,1571,8238
2016-02-01,Jalna,2,1878,2036,1942,2669
2015-01-01,Jalna,2,1563,1762,1672,6788
2016-01-01,Jalna,2,1745,1839,1784,1266
2015-07-01,Jalna,2,1592,1721,1662,2684
2016-07-01,Jalna,2,1874,2024,1942,815
2015-06-01,Jalna,2,1572,1747,1668,4748
2016-06-01,Jalna,2,1922,2066,1981,1713
2015-03-01,Jalna,2,1522,1827,1659,13092
2016-03-01,Jalna,2,1887,2098,1986,4154
2015-05-01,Jalna,2,1574,1788,1678,7594
